#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,
Date,Time,AccountName,AccountDomain,SourceAddress,SourcePort,Sharename
7/31/2017,7:13 PM,rmisp,AP1,10.80.24.173,59921,\\*\IPC$
7/31/2017,7:13 PM,dataexu,AP1,10.42.160.25,64943,\\*\IPC$
7/31/2017,7:13 PM,LOCAL SERVICE,NT AUTHORITY,183.111.2.56,61199,\\*\IPC$
7/31/2017,7:12 PM,_idshk,AP1,10.42.156.78,50591,\\*\IPC$
7/31/2017,7:12 PM,_idshk,AP1,10.42.156.78,50591,\\*\AGIHK
7/31/2017,7:12 PM,rmisp,AP1,10.80.24.173,59907,\\*\IPC$
7/31/2017,7:12 PM,dataexu,AP1,10.42.160.25,64939,\\*\IPC$
7/31/2017,7:12 PM,_idshk,AP1,10.42.156.78,50587,\\*\IPC$
7/31/2017,7:11 PM,MONICAC,AP1,10.80.19.111,55664,\\*\IPC$
7/31/2017,7:11 PM,MONICAC,AP1,10.80.19.111,55665,\\*\IPC$
7/31/2017,7:11 PM,MONICAC,AP1,10.80.19.111,55664,\\*\AGIHK
7/31/2017,7:11 PM,dataexu,AP1,10.42.160.25,64938,\\*\IPC$
7/31/2017,7:11 PM,A00004897,AP1,183.111.2.46,62826,\\*\SYSVOL
7/31/2017,7:11 PM,A00004897,AP1,183.111.2.46,62826,\\*\IPC$
7/31/2017,7:10 PM,_idshk,AP1,10.42.156.78,50584,\\*\IPC$
7/31/2017,7:10 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61190,\\*\SYSVOL
7/31/2017,7:10 PM,AGIHKGSU1D$,ADASIAPAC,183.111.2.126,57306,\\*\IPC$
7/31/2017,7:10 PM,dataexu,AP1,10.42.160.25,64936,\\*\IPC$
7/31/2017,7:09 PM,_idshk,AP1,10.42.156.78,50580,\\*\IPC$
7/31/2017,7:09 PM,dataexu,AP1,10.42.160.25,64926,\\*\IPC$
7/31/2017,7:08 PM,_idshk,AP1,10.42.156.78,50575,\\*\IPC$
7/31/2017,7:08 PM,dataexu,AP1,10.42.160.25,64919,\\*\IPC$
7/31/2017,7:08 PM,KARENLA,AP1,10.80.16.36,49847,\\*\IPC$
7/31/2017,7:08 PM,KARENLA,AP1,10.80.16.36,49845,\\*\IPC$
7/31/2017,7:08 PM,rmisp,AP1,10.80.24.173,59825,\\*\IPC$
7/31/2017,7:07 PM,_idshk,AP1,10.42.156.78,50570,\\*\IPC$
7/31/2017,7:07 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61183,\\*\SYSVOL
7/31/2017,7:07 PM,AGIAPDDC1D$,ADASIAPAC,183.111.2.56,61183,\\*\IPC$
7/31/2017,7:07 PM,dataexu,AP1,10.42.160.25,64916,\\*\IPC$
7/31/2017,7:07 PM,dataexp,AP1,10.42.156.118,53751,\\*\IPC$
7/31/2017,7:07 PM,rmisp,AP1,10.80.24.173,59783,\\*\IPC$
7/31/2017,7:06 PM,AGIHKGSQ2P$,ADASIAPAC,10.42.156.89,49348,\\*\SYSVOL
7/31/2017,7:06 PM,_idshk,AP1,10.42.156.78,50569,\\*\IPC$
7/31/2017,7:06 PM,_idshk,AP1,10.42.156.78,50569,\\*\AGIHK
7/31/2017,7:06 PM,MONICAC,AP1,10.80.19.111,55465,\\*\IPC$
7/31/2017,7:06 PM,MONICAC,AP1,10.80.19.111,55466,\\*\IPC$
